name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
ALEKSIIVA Maryna,Female,2001-05-29,NA,Ukraine,UKR,Artistic Swimming,SWA,Ukraine,1.75/5'8''
ALEKSIIVA Vladyslava,Female,2001-05-29,NA,Ukraine,UKR,Artistic Swimming,SWA,Ukraine,1.76/5'9''
ALEMANNO Maria Grazia,Female,1990-09-02,Italy,Italy,ITA,Weightlifting,WLF,NA,NA
ALEMU Habitam,Female,1997-07-09,Ethiopia,Ethiopia,ETH,Athletics,ATH,NA,NA
ALESSIO Simone,Male,2000-04-14,Italy,Italy,ITA,Taekwondo,TKW,Italy,NA
ALEXANDER Kayla,Female,1991-01-05,Canada,Canada,CAN,Basketball,BKB,Canada,1.93/6'3''
ALEXANDRI Anna-Maria,Female,1997-09-15,Greece,Austria,AUT,Artistic Swimming,SWA,NA,1.71/5'7''
ALEXANDRI Eirini,Female,1997-09-15,Greece,Austria,AUT,Artistic Swimming,SWA,NA,1.72/5'7''
ALEXIUSSON Agnes,Female,1996-04-19,NA,Sweden,SWE,Boxing,BOX,NA,NA
ALEXUC CIURARIU Alin,Male,1990-02-03,Romania,Romania,ROU,Wrestling,WRE,NA,1.93/6'3''
