name,gender,birth_date,country_code,discipline,function,event
ROQUES Tony,Male,1978-09-07,GBR,Rugby Sevens,Head Coach,Men
SACCHETTI Meo,Male,1953-08-20,ITA,Basketball,Coach,Men
SALAM Mohamed,Male,1981-10-05,EGY,Football,Head Coach,NA
SAMMELVUO Tuomas,Male,1976-02-16,ROC,Volleyball,Head Coach,Men
SARTI Ronald,Male,1971-10-19,VEN,Volleyball,Head Coach,Men
SAVIC Dejan,Male,1975-04-24,SRB,Water Polo,Head Coach,Men
SCARIOLO Sergio,Male,1961-04-01,ESP,Basketball,Coach,Men
SCHILLING April,Female,1980-12-09,NGR,Basketball,Coach,NA
SEKULIC Aleksander,Male,1978-02-24,SLO,Basketball,Coach,Men
SEO Chun Oh,Male,1967-08-03,KOR,Rugby Sevens,Head Coach,Men
SERMANNI Tom,Male,1954-07-01,NZL,Football,Head Coach,Women
SHAHINTAB Mehran,Male,1966-03-21,IRI,Basketball,Coach,Men
SHAHNAZI Shahbaz,Male,1987-07-11,AUT,Artistic Swimming,Coach,NA
SHAW Graham,Male,1978-10-17,NZL,Hockey,Head Coach,Women
SHAWKY Gharib,Male,1959-02-26,EGY,Football,Head Coach,Men
SHIMIZU Masaji,Male,1964-07-07,JPN,Baseball/Softball,Coach,Baseball
SIAM Zaghloul,Male,1968-03-25,EGY,Football,Head Coach,NA
SIGURDSSON Dagur,Male,1973-04-03,JPN,Handball,Coach,Men
SILVA Jose,Male,1973-12-19,MEX,Baseball/Softball,Coach,Baseball
SIMIYU Innocent,Male,1983-04-24,KEN,Rugby Sevens,Head Coach,Men
SINGH Shivendra,Male,1983-06-09,IND,Hockey,Coach,Men
SMITH Darren,Male,1973-11-14,NZL,Hockey,Head Coach,Men
SMITH Mark,Male,1959-06-27,CAN,Baseball/Softball,Head Coach,Softball
SOLBERG Glenn,Male,1972-02-18,SWE,Handball,Coach,Men
SOYEZ Frederic,Male,1978-02-11,ESP,Hockey,Head Coach,Men
SPERAW John,Male,1971-10-18,USA,Volleyball,Head Coach,Men
